date,amount,lastUpdate
2020-09-13T00:00:00.000Z,3300,2021-02-22T07:19:44.173Z
2020-09-14T00:00:00.000Z,2418,2021-02-22T07:19:44.173Z
2020-09-15T00:00:00.000Z,2297,2021-02-22T07:19:44.173Z
2020-09-16T00:00:00.000Z,2815,2021-02-22T07:19:44.173Z
2020-09-17T00:00:00.000Z,3745,2021-02-22T07:19:44.173Z
2020-09-18T00:00:00.000Z,2875,2021-02-22T07:19:44.173Z
2020-09-19T00:00:00.000Z,1460,2021-02-22T07:19:44.173Z
2020-09-20T00:00:00.000Z,2497,2021-02-22T07:19:44.173Z
2020-09-21T00:00:00.000Z,4708,2021-02-22T07:19:44.173Z
2020-09-22T00:00:00.000Z,3548,2021-02-22T07:19:44.173Z
2020-09-23T00:00:00.000Z,3863,2021-02-22T07:19:44.173Z
2020-09-24T00:00:00.000Z,4653,2021-02-22T07:19:44.173Z
2020-09-25T00:00:00.000Z,4201,2021-02-22T07:19:44.173Z
2020-09-26T00:00:00.000Z,2418,2021-02-22T07:19:44.173Z
2020-09-27T00:00:00.000Z,5753,2021-02-22T07:19:44.173Z
2020-09-28T00:00:00.000Z,2196,2021-02-22T07:19:44.173Z
2020-09-29T00:00:00.000Z,5869,2021-02-22T07:19:44.173Z
2020-09-30T00:00:00.000Z,5286,2021-02-22T07:19:44.173Z
2020-10-01T00:00:00.000Z,5817,2021-02-22T07:19:44.173Z
2020-10-02T00:00:00.000Z,5648,2021-02-22T07:19:44.173Z
2020-10-03T00:00:00.000Z,3538,2021-02-22T07:19:44.173Z
2020-10-04T00:00:00.000Z,8196,2021-02-22T07:19:44.173Z
2020-10-05T00:00:00.000Z,7038,2021-02-22T07:19:44.173Z
2020-10-06T00:00:00.000Z,6503,2021-02-22T07:19:44.173Z
2020-10-07T00:00:00.000Z,4948,2021-02-22T07:19:44.173Z
2020-10-08T00:00:00.000Z,4851,2021-02-22T07:19:44.173Z
2020-10-09T00:00:00.000Z,5155,2021-02-22T07:19:44.173Z
2020-10-10T00:00:00.000Z,3847,2021-02-22T07:19:44.173Z
2020-10-11T00:00:00.000Z,7649,2021-02-22T07:19:44.173Z
2020-10-12T00:00:00.000Z,5578,2021-02-22T07:19:44.173Z
2020-10-13T00:00:00.000Z,5801,2021-02-22T07:19:44.173Z
2020-10-14T00:00:00.000Z,5897,2021-02-22T07:19:44.173Z
2020-10-15T00:00:00.000Z,5482,2021-02-22T07:19:44.173Z
2020-10-16T00:00:00.000Z,3519,2021-02-22T07:19:44.173Z
2020-10-17T00:00:00.000Z,2532,2021-02-22T07:19:44.173Z
2020-10-18T00:00:00.000Z,4977,2021-02-22T07:19:44.173Z
2020-10-19T00:00:00.000Z,2373,2021-02-22T07:19:44.173Z
2020-10-20T00:00:00.000Z,1828,2021-02-22T07:19:44.173Z
2020-10-21T00:00:00.000Z,3179,2021-02-22T07:19:44.173Z
2020-10-22T00:00:00.000Z,3162,2021-02-22T07:19:44.173Z
2020-10-23T00:00:00.000Z,2466,2021-02-22T07:19:44.173Z
2020-10-24T00:00:00.000Z,1319,2021-02-22T07:19:44.173Z
2020-10-25T00:00:00.000Z,2719,2021-02-22T07:19:44.173Z
2020-10-26T00:00:00.000Z,1311,2021-02-22T07:19:44.173Z
2020-10-27T00:00:00.000Z,970,2021-02-22T07:19:44.173Z
2020-10-28T00:00:00.000Z,1306,2021-02-22T07:19:44.173Z
